Person:,Organization:
 Gad A Cohen,Hebrew University
Bin Gu,University of Pittsburgh
 Zhouyuan Huo,University of Pittsburgh
 Heng Huang,University of Pittsburgh
Zhenyu Liao,"L2S, CentraleSupelec"
 Romain Couillet,CentralSupélec
Zachary Charles,University of Wisconsin-Madison
 Dimitris Papailiopoulos,ECE at University of Wisconsin-Madison
Jinsung Yoon,"University of California, Los Angeles"
 James Jordon,University of Oxford
 Mihaela van der Schaar,University of Oxford
Mikhail Belkin,Ohio State University
 Siyuan Ma,The Ohio State University
 Soumik Mandal,
Jinsung Yoon,"University of California, Los Angeles"
 James Jordon,University of Oxford
 Mihaela van der Schaar,University of Oxford
Lionel Martin,EPFL
 Andreas Loukas,EPFL
 Pierre Vandergheynst,École polytechnique fédérale de Lausanne
Maximilian Ilse,University of Amsterdam
 Jakub Tomczak,University of Amsterdam
 Max Welling,University of Amsterdam
David Balduzzi,DeepMind
 Sebastien Racaniere,DeepMind
 James Martens,DeepMind
 Jakob Foerster,University of Oxford
 Karl Tuyls,DeepMind
 Thore Graepel,DeepMind
Lin Chen,Yale University
 Moran Feldman,The Open University of Israel
 Amin Karbasi,Yale
Yuanxiang Gao,University of Toronto
 Department of Electrical and Computer Li Chen,"Department of Electrical and Computer Engineering, University of Toronto"
 Baochun Li,University of Toronto
Itay Safran,Weizmann Institute of Science
 Ohad Shamir,Weizmann Institute of Science
Tom Ryder,Newcastle University
 Andrew Golightly,Newcastle University
 Stephen McGough,Newcastle University
 Dennis Prangle,Newcastle University
Matthew Streeter,Google
Ronan Fruit,Inria Lille Nord-Europe
 Matteo Pirotta,SequeL - Inria Lille - Nord Europe
 Alessandro Lazaric,Facebook AI Research
 Ronald Ortner,Montanuniversitaet Leoben
Junpei Komiyama,U-Tokyo
 Akiko Takeda,The Institute of Statistical Mathematics
 Junya Honda,University of Tokyo / RIKEN
 Hajime Shimao,Purdue University
Jiong Zhang,University of Texas at Austin
 Qi Lei,University of Texas at Austin
 Inderjit Dhillon,UT Austin & Amazon
Mattias Teye,KTH / EA SEED
 Hossein Azizpour,KTH
 Kevin Smith,KTH Royal Institute of Technology
Ashkan Norouzi-Fard,EPFL
 Jakub Tarnawski,EPFL
 Slobodan Mitrovic,EPFL
 Amir Zandieh,EPFL
 Aidasadat Mousavifar,EPFL
 Ola Svensson,EPFL
Omid Keivani,Wichita State University
 Kaushik Sinha,Wichita State University
Jean Feng,University of Washington
 Brian Williamson,University of Washington
 Noah Simon,University of Washington
 Marco Carone,University of Washington
Vlad Niculae,Cornell University
 Andre Filipe Torres Martins,Instituto de Telecomunicacoes
 Mathieu Blondel,NTT
 Claire Cardie,Cornell University
Pan Li,University of Illinois Urbana-Champaign
 Olgica Milenkovic,University of Illinois UC
Hongteng Xu,"InfiniaML, Inc"
 Lawrence Carin,Duke
 Hongyuan Zha,Georgia Institute of Technology
Yuancheng Zhu,University of Pennsylvania
 John Lafferty,Yale University
Minyoung Kim,"SeoulTech, Rutgers University"
Liwen Zhang,University of Chicago
 Gregory Naisat,The University of Chicago
 Lek-Heng Lim,
Giambattista Parascandolo,Max Planck Institute for Intelligent Systems and ETH Zurich
 Mateo Rojas-Carulla,Cambridge/MPI
 Niki Kilbertus,MPI Tübingen & Cambridge
 Bernhard Schölkopf,"MPI for Intelligent Systems Tübingen, Germany"
Ahmed M. Alaa Ibrahim,UCLA
 M van der Schaar,UCLA
Adil El Mesaoudi-Paul,University of Paderborn
 Eyke Hüllermeier,Paderborn University
 Robert Busa-Fekete,Yahoo Research
Tsui-Wei,Lily
 Huan Zhang,UC Davis
 Hongge Chen,MIT
 Zhao Song,UT-Austin
 Cho-Jui Hsieh,"University of California, Davis"
 Luca Daniel,MIT
 Duane Boning,MIT
 Inderjit Dhillon,UT Austin & Amazon
Ariel Jaffe,Weizmann Institute of Science
 Roi Weiss,WeizmannInstitute
 Boaz Nadler,Weizmann Institute of Science
 Shai Carmi,The Hebrew University of Jerusalem
 Yuval Kluger,Yale School of Medicine
Matthäus Kleindessner,Rutgers University
 Pranjal Awasthi,Rutgers University
Yuling Yao,Columbia University
 Aki Vehtari,Aalto University
 Daniel Simpson,University of Toronto
 Andrew Gelman,Columbia University
Qiang Qiu,Duke University
 Xiuyuan Cheng,Duke University
 robert Calderbank,Duke University
 Guillermo Sapiro,Duke University
Thomas Kerdreux,INRIA
 Fabian Pedregosa,UC Berkeley
 Alexandre d'Aspremont,"CNRS, Ecole Normale Superieure"
Evangelos Chatziafratis,Stanford University
 Rad Niazadeh,Stanford University
 Moses Charikar,Stanford University
Vijaya Raghavendra Bollapragada,Northwestern University
 Jorge Nocedal,Northwestern University
 Dheevatsa Mudigere,Intel Labs
 Hao-Jun M Shi,Northwestern University
 Peter Tang,Intel Corporation
Yash Deshpande,Massachusetts Institute of Technology
 Lester Mackey,Microsoft Research
 Vasilis Syrgkanis,Microsoft Research
 Matt Taddy,MICROSOFT
Ahmed Douik,California Institute of technology
 Babak Hassibi,Caltech
Ahmed Hefny,Carnegie Mellon University
 Zita Marinho,Carnegie Mellon University
 Wen Sun,Carnegie Mellon University
 Siddhartha Srinivasa,University of Washington
 Geoff Gordon,Carnegie Mellon University
Netanel Raviv,California Institute of Technology
 Rashish Tandon,Apple
 Alexandros Dimakis,UT Austin
 Itzhak Tamo,Tel-Aviv University
Julian Katz-Samuels,University of Michigan
 Clay Scott,University of Michigan
Hannes Nickisch,Philips Research
 Arno Solin,Aalto University
 Alexander Grigorevskiy,Aalto University
Matteo Papini,Politecnico di Milano
 Damiano Binaghi,Politecnico di Milano
 Giuseppe Canonaco,Politecnico di Milano
 Matteo Pirotta,SequeL - Inria Lille - Nord Europe
 Marcello Restelli,Politecnico di Milano
Geoff Pleiss,Cornell University
 Jacob Gardner,Cornell University
 Kilian Weinberger,Cornell University
 Andrew Wilson,Cornell University
Mehrdad Farajtabar,Georgia Tech
 Yinlam Chow,DeepMind
 Mohammad Ghavamzadeh,Google DeepMind and INRIA
Vladimir Braverman,Johns Hopkins University
 Stephen Chestnut,ETH Zurich
 Robert Krauthgamer,Weizmann Institute of Science
 Yi Li,Nanyang Technological University
 David Woodruff,Carnegie Mellon University
 Lin Yang,Princeton
Andreas Doerr,"Bosch Center for Artificial Intelligence, Max Planck Institute for Intelligent Systems"
 Christian Daniel,TU Darmstadt
 Martin Schiegg,Bosch Center for AI (BCAI
 Duy Nguyen-Tuong,Bosch Center for AI
 Stefan Schaal,University of Southern California
 Marc Toussaint,(organization
 Sebastian Trimpe,Max Planck Institute for Intelligent Systems
Or Sheffet,University of Alberta
Kaushik Sinha,Wichita State University
Calvin Seward,Zalando Research
 Thomas Unterthiner,Johannes Kepler University Linz
 Urs M Bergmann,Zalando Research
 Nikolay Jetchev,Zalando Research
 Sepp Hochreiter,Johannes Kepler University Linz
Akihiro Yabe,NEC Corporation
 Daisuke Hatano,RIKEN AIP
 Hanna Sumita,National Institute of Informatics
 Shinji Ito,NEC Corporation
 Naonori Kakimura,Keio University
 Takuro Fukunaga,RIKEN AIP
 Ken-ichi Kawarabayashi,National Institute of Informatics
Xueru Zhang,University of Michigan
 Mohammad Khalili,University of Michigan
 Mingyan Liu,"University of Michigan, Ann Arbor"
Yizhen Wang,UCSD
 Somesh Jha,"University of Wisconsin, Madison"
 Kamalika Chaudhuri,University of California at San Diego
Gabriel Bender,Google
 Pieter-Jan Kindermans,Google
 Quoc Le,Google Brain
 Vijay Vasudevan,Google
 Barret Zoph,Google
Thomas Miconi,Uber AI Labs
 Kenneth Stanley,Uber AI Labs & University of Central Florida
 Jeff Clune,Uber AI Labs
Tianyu Pang,Tsinghua University
 Chao Du,Tsinghua University
 Jun Zhu,Tsinghua University
Satrajit Chatterjee,Two Sigma Investments
Andre Barreto,DeepMind
 Diana Borsa,DeepMind
 John Quan,DeepMind
 Tom Schaul,DeepMind
 David Silver,Google DeepMind
 Matteo Hessel,Deep Mind
 Daniel J. Mankowitz,Technion
 Augustin Zidek,
 Remi Munos,DeepMind
IEMS Xingyu Wang,"IEMS, Northwestern University"
 Diego Klabjan,Northwestern University
Thomas Kipf,University of Amsterdam
 Ethan Fetaya,University of Toronto
 Kuan-Chieh Wang,Univeristy of Toronto
 Max Welling,University of Amsterdam
 Richard Zemel,Vector Institute
Davide Bacciu,University of Pisa
 Federico Errica,University of Pisa
 Alessio Micheli,Universita di Pisa
AmirEmad Ghassami,UIUC
 Saber Salehkaleybar,Sharif University of Technology
 Negar Kiyavash,University of Illinois at Urbana-Champaign
 Elias Bareinboim,Purdue
Ofir Nachum,Google Brain
 Mohammad Norouzi,Google Brain
 George Tucker,Google Brain
 Dale Schuurmans,University of Alberta
David Abel,Brown University
 Dilip Arumugam,Brown University
 Lucas Lehnert,Brown University
 Michael L. Littman,Brown University
Hao Lu,Princeton University
 Yuan Cao,Princeton University
 Junwei Lu,
 Zhaoran Wang,Northwestern U
 Han Liu,Princeton University
Been Kim,Google
 Martin Wattenberg,Google
 Justin Gilmer,Google Brain
 Carrie Cai,
 James Wexler,Google
 Ulfar Erlingsson,
 Rory sayres,Google
Aonan Zhang,Columbia University
 John Paisley,Columbia University
Maryam Fazel,University of Washington
 Rong Ge,Duke University
 Sham Kakade,University of Washington
 Mehran Mesbahi,
Ehsan Imani,University of Alberta
 Martha White,University of Alberta
Thomas Dietterich,(organization
 George Trimponias,Huawei Noah's Ark Lab
 Zhitang Chen,Huawei Noah’s Ark Lab
Niladri S Chatterji,UC Berkeley
 Nicolas Flammarion,UC Berkeley
 Yian Ma,UC Berkeley
 Peter Bartlett,UC Berkeley
 Michael Jordan,UC Berkeley
