authors,titles,hrefs
Ashish Khetan · Zachary Lipton · anima anandkumar,Learning From Noisy Singly-labeled Data,https://openreview.net/forum?id=H1sUHgb0Z
Alexander Matthews · Jiri Hron · Mark Rowland · Richard E Turner · Zoubin Ghahramani,Gaussian Process Behaviour in Wide Deep Neural Networks,https://openreview.net/forum?id=H1-nGgWC-
Yi Zhou · Yingbin Liang,Critical Points of Linear Neural Networks: Analytical Forms and Landscape Properties,https://openreview.net/forum?id=SysEexbRb
Asit Mishra · Debbie   Marr,Apprentice: Using Knowledge Distillation Techniques To Improve Low-Precision Network Accuracy,https://openreview.net/forum?id=B1ae1lZRb
Travis Williams · Robert   Li,Wavelet Pooling for Convolutional Neural Networks,https://openreview.net/forum?id=rkhlb8lCZ
Xingjun Ma · Bo Li · Yisen Wang · Sarah Erfani · Sudanthi Wijewickrema · Grant Schoenebeck · dawn song · Michael E Houle · James Bailey,Characterizing Adversarial Subspaces Using Local Intrinsic Dimensionality,https://openreview.net/forum?id=B1gJ1L2aW
Wei Wen · Yuxiong He · Samyam   Rajbhandari · Minjia   Zhang · Wenhan   Wang · Fang   Liu · Bin Hu · Yiran   Chen · Hai Li,Learning Intrinsic Sparse Structures within Long Short-Term Memory,https://openreview.net/forum?id=rk6cfpRjZ
Ronald Kemker · Christopher Kanan,FearNet: Brain-Inspired Model for Incremental Learning,https://openreview.net/forum?id=SJ1Xmf-Rb
Abhishek   Kumar · Prasanna Sattigeri · Avinash Balakrishnan,Variational Inference of Disentangled Latent Concepts from Unlabeled Observations,https://openreview.net/forum?id=H1kG7GZAW
Mengye Ren · Eleni Triantafillou · Sachin   Ravi · Jake   Snell · Kevin Swersky · Joshua B Tenenbaum · Hugo Larochelle · Richard   Zemel,Meta-Learning for Semi-Supervised Few-Shot Classification,https://openreview.net/forum?id=HJcSzz-CZ
Vijayaraghavan Murali · Letao Qi · Swarat Chaudhuri · Chris   Jermaine,Neural Sketch Learning for Conditional Program Generation,https://openreview.net/forum?id=HkfXMz-Ab
Jaehoon Lee · Yasaman Bahri · Roman Novak · Samuel S Schoenholz · Jeffrey Pennington · Jascha Sohl-Dickstein,Deep Neural Networks as Gaussian Processes,https://openreview.net/forum?id=B1EA-M-0Z
Krzysztof Choromanski · Carlton Downey · Byron   Boots,Initialization matters: Orthogonal Predictive State Recurrent Neural Networks,https://openreview.net/forum?id=HJJ23bW0b
Valentin Khrulkov · Alexander Novikov · Ivan Oseledets,Expressive power of recurrent neural networks,https://openreview.net/forum?id=S1WRibb0Z
Pouya Samangouei · Maya Kabkab · Rama Chellappa,Defense-GAN: Protecting Classifiers Against Adversarial Attacks Using Generative Models,https://openreview.net/forum?id=BkJ3ibb0-
Cathy Wu · Aravind Rajeswaran · Yan   Duan · Vikash   Kumar · Alexandre M Bayen · Sham M Kakade · Igor   Mordatch · Pieter Abbeel,Variance Reduction for Policy Gradient with Action-Dependent Factorized Baselines,https://openreview.net/forum?id=H1tSsb-AW
Aditi Raghunathan · Jacob Steinhardt · Percy Liang,Certified Defenses against Adversarial Examples ,https://openreview.net/forum?id=Bys4ob-Rb
Yannic Kilcher · Aurelien   Lucchi · Thomas   Hofmann,Semantic Interpolation in Implicit Models,https://openreview.net/forum?id=H15odZ-C-
Benjamin Eysenbach · Shixiang Gu · Julian Ibarz · Sergey Levine,Leave no Trace: Learning to Reset for Safe and Autonomous Reinforcement Learning,https://openreview.net/forum?id=S1vuO-bCW
Rong   Ge · Jason Lee · Tengyu   Ma,Learning One-hidden-layer Neural Networks with Landscape Design,https://openreview.net/forum?id=BkwHObbRZ
Jacob Buckman · Aurko Roy · Colin Raffel · Ian Goodfellow,Thermometer Encoding: One Hot Way To Resist Adversarial Examples,https://openreview.net/forum?id=S18Su--CW
Constantinos C Daskalakis · Andrew Ilyas · Vasilis   Syrgkanis · Haoyang Zeng,Training GANs with Optimism,https://openreview.net/forum?id=SJJySbbAZ
Tianmin Shu · Caiming Xiong · richard   socher,Hierarchical and Interpretable Skill Acquisition in Multi-task Reinforcement Learning,https://openreview.net/forum?id=SJJQVZW0b
Audrunas Gruslys · Will   Dabney · Mohammad Gheshlaghi  Azar · Bilal Piot · Marc G Bellemare · Remi Munos,The Reactor: A fast and sample-efficient Actor-Critic agent for  Reinforcement Learning,https://openreview.net/forum?id=rkHVZWZAZ
Daniel Horgan · John Quan · David Budden · Gabriel   Barth-maron · Matteo Hessel · Hado van Hasselt · David   Silver,Distributed Prioritized Experience Replay,https://openreview.net/forum?id=H1Dy---0Z
Kuniaki Saito · Yoshitaka Ushiku · Tatsuya Harada · Kate Saenko,Adversarial Dropout Regularization,https://openreview.net/forum?id=HJIoJWZCZ
Chuan Guo · Mayank Rana · Moustapha   Cisse · Laurens van der Maaten,Countering Adversarial Images using Input Transformations,https://openreview.net/forum?id=SyJ7ClWCb
Zhengli Zhao · Dheeru   Dua · Sameer Singh,Generating Natural Adversarial Examples,https://openreview.net/forum?id=H1BLjgZCb
Taco Cohen · Mario Geiger · Jonas Koehler · Max Welling,Spherical CNNs,https://openreview.net/forum?id=Hkbd5xZRb
Sainbayar Sukhbaatar · Zeming   Lin · Ilya   Kostrikov · Gabriel   Synnaeve · Arthur   Szlam · Rob   Fergus,Intrinsic Motivation and Automatic Curricula via Asymmetric Self-Play,https://openreview.net/forum?id=SkT5Yg-RZ
William Murdoch · Peter J Liu · Bin   Yu,Beyond Word Importance:  Contextual Decomposition to Extract Interactions from LSTMs,https://openreview.net/forum?id=rkRwGg-0Z
Mikel Artetxe · Gorka Labaka · Eneko Agirre · Kyunghyun Cho,Unsupervised Neural Machine Translation,https://openreview.net/forum?id=Sy2ogebAW
Leonard Berrada · Andrew Zisserman · M. Pawan Kumar,Smooth Loss Functions for Deep Top-k Classification,https://openreview.net/forum?id=Hk5elxbRW
Yonatan Belinkov · Yonatan Bisk,Synthetic and Natural Noise Both Break Neural Machine Translation,https://openreview.net/forum?id=BJ8vJebC-
Richard   Evans · David Saxton · David   Amos · Pushmeet   Kohli · Edward Grefenstette,Can Neural Networks Understand Logical Entailment?,https://openreview.net/forum?id=SkZxCk-0Z
